gadmid,dslr_med,lsl_med,n_seg_ir,var_med
3602,-0.02950003184378147,0.5195000469684601,1,0.4900000151246786
3603,-0.02349998988211155,0.5135000050067902,3,0.4900000151246786
3611,-0.011250015813857317,0.523000031709671,4,0.5117500158958137
3615,-0.0354999965056777,0.5360000133514404,2,0.5005000168457627
3616,0.008500006049871445,0.5315000116825104,1,0.5400000177323818
3618,0.002749993155399958,0.46666668852170307,6,0.46941668167710304
3619,-0.03400001674890518,0.44200003147125244,2,0.40800001472234726
3620,0.007500000298023224,0.5035000145435333,1,0.5110000148415565
3629,-0.005000017583370209,0.42600002884864807,1,0.42100001126527786
3630,-0.029100003093481062,0.4445000171661377,5,0.41540001407265664
3632,-0.03500001225620508,0.5210000276565552,1,0.4860000154003501
3637,-0.03500001225620508,0.5210000276565552,1,0.4860000154003501
3639,-0.03500001225620508,0.5210000276565552,1,0.4860000154003501
3644,0.010166658709446589,0.5211666921774546,3,0.5313333508869011
3649,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3650,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3651,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3652,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3653,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3654,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3655,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3656,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3659,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3661,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3662,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3663,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3664,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3665,-0.03875001519918442,0.3277500197291374,4,0.289000004529953
3666,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3667,-0.03700001537799835,0.3256666858990987,3,0.28866667052110034
3668,-0.03350001573562622,0.3215000182390213,1,0.2880000025033951
3671,-0.027250006794929504,0.43150001764297485,2,0.40425001084804535
3672,-0.028000014019198716,0.5070000290870667,2,0.47900001506786793
3682,-0.028000014019198716,0.5070000290870667,1,0.47900001506786793
3684,-0.028000014019198716,0.5070000290870667,1,0.47900001506786793
3686,-0.028000014019198716,0.5070000290870667,1,0.47900001506786793
3689,-0.026499999687075615,0.4620000123977661,2,0.4355000127106905
3694,-0.026499999687075615,0.4620000123977661,1,0.4355000127106905
3695,-0.026499999687075615,0.4620000123977661,2,0.4355000127106905
3696,-0.026499999687075615,0.4620000123977661,2,0.4355000127106905
3697,-0.026499999687075615,0.4620000123977661,2,0.4355000127106905
